city,district
3qIS,6ZYr
L3E0,HZoJ
14oY,ov3K
LPgu,bvPi
DhcW,lwn5
tXxU,P9We
Ilm9,ZLEL
aMdi,PRlt
5UN3,CdG8
GxNL,IrHt
GDzK,137o
4jlQ,b5K9
8KTk,xAnH
930M,mF5s
LXbB,Jvbd
e6bb,wHKs
qAsV,C7We
3DdW,MLiw
L1m5,LMZy
MjZ9,adD3
n8Rd,xLmM
wb4A,SzE7
4kjP,4PTw
7Vno,AG5w
4qak,4fcv
44io,vaVE
zqJk,22Ql
5wrW,6jNo
qcyR,7mIc
WMPw,bY2A
XYU5,kJa4
KCwy,tlQG
lDa8,Sdc1
401E,dbke
RiAY,GDIi
yi9u,WwFa
hmiq,p5na
meAq,lirF
uMgN,HjAW
elOM,DgvX
MpN0,dXOD
xWhr,n4oh
u7mK,9CGi
P9Ux,K3GW
Ooob,h1Cu
McJI,Asu0
5Ytw,ODJj
0Yzh,OpsQ
ci2g,0Ing
X28C,9Qpu
SsAy,11bx
fVQZ,G4hc
VDyy,PVR8
sChr,NNmI
R8KX,j6jz
pL7N,EWKh
Bv4E,dCMP
Fm7F,tvS4
kmqo,SEvG
zgBd,uxmN
pOs0,ISgV
BRAq,3UzD
7Whk,GORg
k3Eg,ZDxB
zUJ5,1Mim
vcme,eCjq
BBPL,40l0
pHrX,KBAr
akwt,StMN
RXRO,1j0b
mk6I,GyeA
JBZa,pyQn
VIhZ,0DQR
zRLI,lFtN
prNe,YjGH
jNv2,mk2K
z40Q,W8El
xEaP,X8jy
DjkD,TPa5
WDsa,Ld03
7Nzc,mFfm
Zg5m,gEj3
7QdB,rYbR
z1aS,eUy0
nKba,y3ko
0M1r,ljy0
X61U,rixC
4sfM,9woc
OuR3,CIFK
0nok,OKxH
GZiZ,tG0t
MmYb,fMXs
yolN,kANB
dUC1,UGh4
PivL,KBkz
Tt1P,5Ndw
L0JQ,5N4b
R907,51Ag
cvnL,lgUj
A0Z5,US5E
